variant,trial_id,duration_sec,reward,input_tokens,cache_create_tokens,cache_read_tokens,output_tokens,total_input_tokens
baseline,28N5884,73,1.0,24,5415,270866,2096,276305
baseline,ENiQV4Y,221,1.0,28,26669,827823,4232,854520
baseline,EsmGVv6,152,1.0,37,19638,844333,4144,864008
baseline,Kd7T5th,111,1.0,24,15740,524506,3059,540270
baseline,QPrayBS,188,1.0,36,13085,682448,4010,695569
baseline,TkqpWy7,251,1.0,26,16443,809077,5446,825546
baseline,U4LqEDh,87,1.0,24,6236,345873,2535,352133
baseline,X6NrmCt,138,1.0,26,9564,486529,2861,496119
baseline,XAV8RUs,65,1.0,23,4519,227612,1534,232154
baseline,bcKX5m7,139,1.0,21,7942,454772,2505,462735
baseline,cDYjPry,85,1.0,29,10972,265716,2377,276717
baseline,gMcoFdU,118,1.0,27,7389,519939,3357,527355
baseline,hrfnEMg,214,1.0,30,14502,776807,4390,791339
baseline,jFspH6U,68,1.0,21,2865,180096,1254,182982
baseline,jczRQDb,71,1.0,24,4916,296225,1805,301165
baseline,mve95ZT,89,1.0,29,6850,349499,2476,356378
baseline,o6hWaSo,300,0.0,0,0,0,0,0
baseline,zJKnnbj,142,1.0,28,17533,668883,3876,686444
baseline,zxoWDH3,81,1.0,25,4423,335820,2314,340268
baseline,zzkUGgq,61,1.0,25,2610,241056,1585,243691
tessl,3uJjfK3,230,1.0,32,10903,774283,3821,785218
tessl,4RmeZxB,110,1.0,46,5135,346066,2139,351247
tessl,5SFpf9C,51,1.0,16,3157,106548,909,109721
tessl,BisCeY2,300,0.0,0,0,0,0,0
tessl,JVvt2z4,52,1.0,22,2695,127404,908,130121
tessl,Ma8XD7L,59,1.0,31,2729,176136,1226,178896
tessl,QAjwSnd,64,1.0,22,9602,118700,843,128324
tessl,QkSLHeZ,180,1.0,33,9253,494996,2384,504282
tessl,RJqUCgj,131,1.0,22,12285,238885,1504,251192
tessl,TuDMHm7,62,1.0,31,3967,197845,1201,201843
tessl,Wjujfha,268,1.0,27,27355,739633,2969,767015
tessl,bfR7t49,300,0.0,0,0,0,0,0
tessl,eXg7p4u,139,1.0,24,8217,501678,3345,509919
tessl,hzSiEJo,126,1.0,43,7013,399458,2180,406514
tessl,meMY7qQ,108,1.0,47,5138,316434,1891,321619
tessl,o86gMDb,114,1.0,19,5879,298038,1749,303936
tessl,oRLy6nz,61,1.0,22,2094,151685,1028,153801
tessl,rks9PHj,89,1.0,30,5062,246191,1424,251283
tessl,tqQrpps,157,1.0,23,8003,312838,1770,320864
tessl,twPtQzh,200,1.0,51,17406,1068408,4719,1085865
